filenames,captions
AUA Arrivals building.JPG,"Aruba has four ports: [[Barcadera]], the main cargo port, [[Paardenbaai]], the cruise ship terminal in Oranjestad/Taratata,&lt;ref&gt;{{cite web|url=https://archive.org/download/BNADIGWERBATAARUBA/BNA-DIG-WERBATA-004.jpg |title=Taratata map (historic)|access-date=5 February 2022}}&lt;/ref&gt;&lt;ref&gt;{{cite web|url=https://www.openstreetmap.org/way/906829876 |title=Taratata map (updated)|date=5 November 2021 |access-date=5 February 2022}}&lt;/ref&gt; Commandeurs Baai (Commander's Bay) in [[Savaneta]],&lt;ref&gt;{{cite web|url=https://docplayer.nl/113421717-Naar-een-duurzame-inrichting-van-aruba.html |title=Naar een duurzame inrichting van Aruba |publisher=Ministerie Ruimtelijke Onderwikkeling, Infrastructuur en Milieu|language=nl|access-date=2 May 2021|year=2019|page=10}}&lt;/ref&gt; and Sint Nicolaas Baai in [[San Nicolaas]]. [[Paardenbaai]] services all the cruise-ship lines such as [[Royal Caribbean International|Royal Caribbean]], [[Carnival Cruise Lines|Carnival]], [[Norwegian Cruise Line|NCL]], [[Holland America Line|Holland America]], [[MSC Cruises]], [[Costa Cruises]], [[P&amp;O Cruises]] and [[Disney Cruise Line|Disney]]. Nearly one million tourists enter this port per year. Aruba Ports Authority, owned and operated by the Aruban government, runs these seaports.[[File:AUA Arrivals building.JPG|thumb|The Arrivals building at Queen Beatrix International Airport]]"
Aruba electricity production.svg,"Water- en Energiebedrijf Aruba, N.V. (W.E.B.) produces potable water and power. Average daily consumption in Aruba is about 35600 m3 (46,500 cu. yd.) per day.,&lt;ref&gt;{{cite web |title=W.E.B. Water Consumption |url=https://webaruba.com/water-production/technologies-used |access-date=11 May 2022}}&lt;/ref&gt; and average power generation is 104 MW.&lt;ref&gt;{{cite web |title=W.E.B. Power Generation |url=https://webaruba.com/energy-production/power-production-figures |access-date=11 May 2022}}&lt;/ref&gt; Besides production, WEB also takes care of the water distribution on the island.&lt;ref&gt;{{cite web |title=W.E.B. Water Distribution |url=https://webaruba.com/water-production/water-distribution |access-date=11 May 2022}}&lt;/ref&gt; Elektriciteits Maatschappij Aruba, N.V. (N.V. Elmar) is the sole distributor of electricity on the island of Aruba. [[N.V. Elmar]] also offers its customers the opportunity to add solar panel or wind turbines.&lt;ref&gt;{{cite web |title=ELMAR Solar and Wind |url=https://www.elmar.aw/save-energy/solar-panels-windmills |access-date=11 May 2022}}&lt;/ref&gt; Together with W.E.B. Aruba N.V., both companies share the same parent holding which is Utilities Aruba N.V.&lt;ref&gt;{{cite web |title=ELMAR and WEB corporate structure |url=https://www.elmar.aw/about-elmar/about-nv-elmar |access-date=11 May 2022}}&lt;/ref&gt;&lt;ref&gt;{{cite web |title=Utilities Aruba |url=https://www.utilitiesarubanv.com/main/ |access-date=22 August 2022}}&lt;/ref&gt;[[File:Aruba electricity production.svg|thumb|Aruba electricity production by source|left]]"
Aruba-Hooiberg-2013.JPG,[[File:Aruba-Hooiberg-2013.JPG|thumb|right|Hooiberg (hill)]]
Articles of Confederation 13c 1977 issue.JPG,"[[File:Articles of Confederation 13c 1977 issue.JPG|thumb|right|upright=.90|alt=Historical 13-cent postage stamp commemorating the Articles of Confederation 200th anniversary|1977 13-cent U.S. [[Postage stamp]] commemorating the Articles of Confederation bicentennial; the draft was completed on November 15, 1777]]"
Seal of Virginia.svg,| [[File:Seal of Virginia.svg|30px]] [[Virginia]]
Seal of South Carolina.svg,| [[File:Seal of South Carolina.svg|30px]] [[South Carolina]]
Seal of New York.svg,| [[File:Seal of New York.svg|30px]] [[New York (state)|New York]]
Seal of Rhode Island (pre 2022).svg,| [[File:Seal of Rhode Island (pre 2022).svg|30px]] [[Rhode Island]]
Seal of Connecticut.svg,| [[File:Seal of Connecticut.svg|26px]] [[Connecticut]]
Seal of Georgia.svg,| [[File:Seal of Georgia.svg|30px]] [[Georgia (U.S. state)|Georgia]]
Seal of New Hampshire.svg,| [[File:Seal of New Hampshire.svg|30px]] [[New Hampshire]]
Seal of Pennsylvania.svg,| [[File:Seal of Pennsylvania.svg|30px]] [[Pennsylvania]]
Seal of Massachusetts.svg,| [[File:Seal of Massachusetts.svg|30px]] [[Massachusetts]]
Seal of North Carolina.svg,| [[File:Seal of North Carolina.svg|30px]] [[North Carolina]]
Seal of New Jersey.svg,| [[File:Seal of New Jersey.svg|30px]] [[New Jersey]]
Seal of Delaware.svg,| [[File:Seal of Delaware.svg|30px]] [[Delaware]]
Seal of Maryland (reverse).svg,| [[File:Seal of Maryland (reverse).svg|30px]] [[Maryland]]
Act of Maryland to ratify Articles.jpg,"[[File:Act of Maryland to ratify Articles.jpg|thumb|upright=.90|The Act of the Maryland legislature to ratify the Articles of Confederation, February 2, 1781]]"
Atlantic Ocean to Africa.ogv,"[[File:Atlantic Ocean to Africa.ogv|thumb|This video was taken by the crew of [[Expedition 29]] on board the [[International Space Station|ISS]]. The pass starts from just northeast of the island of [[Newfoundland (island)|Newfoundland]] over the North Atlantic Ocean to central Africa, over [[South Sudan]].]]"
1710 De La Feuille Map of Africa - Geographicus - Africa-lafeuille-1710.jpg,[[File:1710 De La Feuille Map of Africa - Geographicus - Africa-lafeuille-1710.jpg|thumb|right|The [[Aethiopian Ocean]] in a 1710 French map of Africa]]
Atlantic bathymetry.jpg,[[File:Atlantic bathymetry.jpg|thumb|[[False color]] map of ocean depth in the Atlantic basin]]
Gulf Stream Sea Surface Currents and Temperatures NASA SVS.jpg,[[File:Gulf Stream Sea Surface Currents and Temperatures NASA SVS.jpg|thumb|upright=1.8|As the Gulf Stream meanders across the North Atlantic from the North American east coast to Western Europe its temperature drops by {{convert|20|C-change}}.|alt=Visualisation of the Gulf Stream stretching from the Gulf of Mexico to Western Europe]]
Circulacion termohalina.jpg,"[[File:Circulacion termohalina.jpg|Path of the [[thermohaline circulation]]. Purple paths represent deep-water currents, while blue paths represent surface currents.|thumb|alt=Map displaying a looping line with arrows indicating that water flows eastward in the far Southern Ocean, angling northeast of Australia, turning sough-after passing Alaska, then crossing the mid-Pacific to flow north of Australia, continuing west below Africa, then turning northwest until reaching eastern Canada, then angling east to southern Europe, then finally turning south just below Greenland and flowing down the Americas' eastern coast, and resuming its flow eastward to complete the circle]]"
North Atlantic Circulation.gif,[[File:North Atlantic Circulation.gif|thumb|In the subpolar gyre of the North Atlantic warm subtropical waters are transformed into colder subpolar and polar waters. In the Labrador Sea this water flows back to the subtropical gyre.]]
Atlantic hurricane graphic.png,[[File:Atlantic hurricane graphic.png|thumb|Waves in the [[trade winds]] in the Atlantic Ocean{{snd}}areas of converging winds that move along the same track as the prevailing wind{{snd}}create instabilities in the atmosphere that may lead to the formation of hurricanes.|alt=Map of Caribbean showing seven approximately parallel westward-pointing arrows that extend from east of the Virgin Islands to Cuba. The southern arrows bend northward just east of the Dominican Republic before straightening out again.]]
"Iceberg A22A, South Atlantic Ocean.jpg","[[File:Iceberg A22A, South Atlantic Ocean.jpg|thumb|Iceberg A22A in the South Atlantic Ocean]]"
Meilgaard-boplads.jpg,[[File:Meilgaard-boplads.jpg|thumb|Excavation of the [[Ertebølle culture|Ertebølle]] middens in 1880]]
Norse-world.png,"[[File:Norse-world.png|thumb|Based on the medieval {{Lang|is|[[Sagas of Icelanders|Íslendingasögur]]}} sagas, including the ''[[Greenland saga|Grœnlendinga saga]]'', this interpretative map of the &quot;Norse World&quot; shows that Norse knowledge of the Americas and the Atlantic remained limited.]]"
Map of Portuguese Carreira da India.gif,"[[File:Map of Portuguese Carreira da India.gif|thumb|left|The Atlantic [[Gyre]]s influenced the [[Portuguese discoveries]] and trading port routes, here shown in the India Run (&quot;''Carreira da Índia''&quot;), which would be developed in subsequent years.]]"
Atlantic slavetrade estimates.png,[[File:Atlantic slavetrade estimates.png|thumb|Embarked and disembarked slaves in the [[Atlantic slave trade]] 1525–1863 (first and last slave voyages)]]
Transatlantic Free Trade Area.svg,"&lt;!-- [[File:Transatlantic Free Trade Area.svg|thumb|Intended to unite the so-called Western World, the proposed [[Transatlantic Trade and Investment Partnership]], and its possible future expansion, highlights the global importance of trade across the North Atlantic to the exclusion of the continents bordering the South Atlantic.]] --&gt;"
Kanstadsamlingen - NMF010005-01347.jpg,[[File:Kanstadsamlingen - NMF010005-01347.jpg|thumb|right|[[Cod fisheries|Cod fishery]] in Norway]]
Northeast Atlantic bathymetry.png,[[File:Northeast Atlantic bathymetry.png|thumb|Banks of the northeast Atlantic]]
StLawrence Gulf bathymetry.jpg,[[File:StLawrence Gulf bathymetry.jpg|thumb|Banks of the northwest Atlantic]]
Time series for collapse of Atlantic northwest cod.png,[[File:Time series for collapse of Atlantic northwest cod.png|thumb|left|Capture of Atlantic northwest cod in million tons]]
Bahamas.A2001138.1550.250m.jpg,[[File:Bahamas.A2001138.1550.250m.jpg|thumb|upright|[[Bahama Banks]]]]
Agulhas Bank NOAA ETOPO1.jpg,[[File:Agulhas Bank NOAA ETOPO1.jpg|thumb|left|[[Agulhas Bank]]]]
"Nesocichla eremita -Inaccessible Island, British overseas territory-8 (3).jpg","[[File:Nesocichla eremita -Inaccessible Island, British overseas territory-8 (3).jpg|thumb|[[Marine debris]] strewn over the beaches of the South Atlantic [[Inaccessible Island]]]]"
Gdansk Schopenhauer House.jpg,"[[File:Gdansk Schopenhauer House.jpg|thumb|upright|Schopenhauer's birthplace house, ul. Św. Ducha (formerly ''Heiligegeistgasse'')]]"
ArthurSchopenhauer.jpg,[[File:ArthurSchopenhauer.jpg|thumb|left|Schopenhauer in his youth]]
Arthur Shopengauer by Gennadij Jerszow.jpg,[[File:Arthur Shopengauer by Gennadij Jerszow.jpg|thumb|upright|Sculpture of Arthur Schopenhauer by [[Giennadij Jerszow]]]]
Schopenhauer.jpg,[[File:Schopenhauer.jpg|thumb|left|1855 painting of Schopenhauer by [[Jules Lunteschütz]]]]
Schopenhauer-ffm001.jpg,[[File:Schopenhauer-ffm001.jpg|thumb|right|Grave at the ''[[Frankfurt Main Cemetery|Hauptfriedhof]]'' in [[Frankfurt]]]]
Johannes Vermeer - Het melkmeisje - Google Art Project.jpg,"[[File:Johannes Vermeer - Het melkmeisje - Google Art Project.jpg|thumb|In his main work, Schopenhauer praised the [[Dutch Golden Age painting|Dutch Golden Age artists]], who &quot;directed such purely objective perception to the most insignificant objects, and set up a lasting monument of their objectivity and spiritual peace in paintings of ''[[still life]]''. The aesthetic beholder does not contemplate this without emotion.&quot;&lt;ref&gt;''The World as Will and Representation'', Vol. 1, §38&lt;/ref&gt;]]"
FFM Wallanlagen Schopenhauer-Denkmal.jpg,[[File:FFM Wallanlagen Schopenhauer-Denkmal.jpg|thumb|Bust in [[Frankfurt]]]]
Frankfurt Am Main-Portraits-Arthur Schopenhauer-1845.jpg,[[File:Frankfurt Am Main-Portraits-Arthur Schopenhauer-1845.jpg|thumb|upright|Schopenhauer at age 58 on 16 May 1846]]
Schopenhauer 1852.jpg,"[[File:Schopenhauer 1852.jpg|thumb|Photo of Schopenhauer, 1852]]"
Immanuel Kant portrait c1790.jpg,"[[File:Immanuel Kant portrait c1790.jpg|thumb|200px|right|Schopenhauer's philosophy took Kant's work as its foundation. While he praised Kant's greatness, he nonetheless included a highly detailed criticism of Kantian philosophy as an appendix to ''The World as Will and Representation''.]]"
Arthur_Schopenhauer_by_Elisabet_Ney.jpg,[[File:Arthur_Schopenhauer_by_Elisabet_Ney.jpg|thumb|[[Arthur Schopenhauer (sculpture)|Sculpture of Schopenhauer]] by [[Elisabeth Ney]]]]
DBP 1988 1357 Arthur Schopenhauer.jpg,[[File:DBP 1988 1357 Arthur Schopenhauer.jpg|thumb|Commemorative stamp of the Deutsche Bundespost]]
Angolan-National-Anthem-_US-Navy-Band.ogg,| national_anthem        = &quot;[[Angola Avante]]&quot;&lt;br /&gt;({{Lang-en|&quot;Onwards Angola&quot;}})[[File:Angolan-National-Anthem-_US-Navy-Band.ogg]]
Angola (orthographic projection).svg,| image_map              = {{Switcher|[[File:Angola (orthographic projection).svg|frameless]]|Show globe|[[File:Location Angola AU Africa.svg|upright=1.15|frameless]]|Show map of Africa|[[File:Angola - Location Map (2013) - AGO - UNOCHA.svg|frameless]]|Show map of Angola|default=1}}
Location Angola AU Africa.svg,| image_map              = {{Switcher|[[File:Angola (orthographic projection).svg|frameless]]|Show globe|[[File:Location Angola AU Africa.svg|upright=1.15|frameless]]|Show map of Africa|[[File:Angola - Location Map (2013) - AGO - UNOCHA.svg|frameless]]|Show map of Angola|default=1}}
Angola - Location Map (2013) - AGO - UNOCHA.svg,| image_map              = {{Switcher|[[File:Angola (orthographic projection).svg|frameless]]|Show globe|[[File:Location Angola AU Africa.svg|upright=1.15|frameless]]|Show map of Africa|[[File:Angola - Location Map (2013) - AGO - UNOCHA.svg|frameless]]|Show map of Angola|default=1}}
Jean_Roy_de_Congo.jpg,"[[File:Jean_Roy_de_Congo.jpg|thumb|upright|left|[[João I of Kongo|King João I]], [[Manikongo]] of the [[Kingdom of Kongo]]]]"
Coat of Arms of the Kingdom of Kongo.jpg,[[File:Coat of Arms of the Kingdom of Kongo.jpg|thumb|upright|left|Coat of arms granted to King [[Afonso I of Kongo]] by King [[Manuel I of Portugal]]]]
Queen_Nzinga_1657.png,"[[File:Queen_Nzinga_1657.png|thumb|right|[[Nzinga of Ndongo and Matamba|Queen Ana de Sousa of Ndongo]] meeting with the [[Portuguese people|Portuguese]], 1657]]"
Cidade de São Paulo da Assumpção de Loanda.jpg,[[File:Cidade de São Paulo da Assumpção de Loanda.jpg|thumb|left|Depiction of [[Luanda]] from 1755]]
Cadornega.jpg,[[File:Cadornega.jpg|thumb|right|upright|''History of Angola''; written in Luanda in 1680.]]
"Luanda,desfilemilitar (cropped).jpg","[[File:Luanda,desfilemilitar (cropped).jpg|thumb|left|[[Portuguese Armed Forces]] marching in Luanda during the [[Portuguese Colonial War]]s (1961–74).]]"
FNLA1973.jpg,[[File:FNLA1973.jpg|thumb|upright|Members of the [[National Liberation Front of Angola]] training in 1973.]]
"President MPLA, heer Neto door Den Uyl ontvangen premier Den Uyl en A Neto (r), Bestanddeelnr 927-8518 (cropped).jpg","[[File:President MPLA, heer Neto door Den Uyl ontvangen premier Den Uyl en A Neto (r), Bestanddeelnr 927-8518 (cropped).jpg|thumb|left|upright|[[Agostinho Neto]], first [[President of Angola]].]]"
Cuban PT-76 Angola.JPG,"[[File:Cuban PT-76 Angola.JPG|thumb|Cuban tank in Luanda during the [[Cuban intervention in Angola]], 1976]]"
Porto de Luanda - Angola 2015.jpg,"[[File:Porto de Luanda - Angola 2015.jpg|thumb|right|[[Luanda]] is experiencing widespread urban renewal and redevelopment in the 21st century, backed largely by profits from the oil and diamond industries.]]"
Angola Topography.png,[[File:Angola Topography.png|thumb|upright|Topography of Angola]]
AngolaOverview_S2_2022.png,"[[File:AngolaOverview_S2_2022.png|thumb|right|300px|Satellite imagery of Angola, 2022]]"
Koppen-Geiger_Map_AGO_present.svg,[[File:Koppen-Geiger_Map_AGO_present.svg|thumb|300px|Angola map of Köppen climate classification.]]
Angola Provinces numbered 300px.png,[[File:Angola Provinces numbered 300px.png|thumb|upright|Map of Angola with the provinces numbered]]
"Huambo, Palácio do Governador (cropped).jpg","[[File:Huambo, Palácio do Governador (cropped).jpg|thumb|right|[[Huambo Province|Provincial Government of Huambo]].]]"
Governo Provincial do Namibe (19543179475) (cropped).jpg,[[File:Governo Provincial do Namibe (19543179475) (cropped).jpg|thumb|right|[[Namibe Province|Provincial Government of Namibe]].]]
National Assembly Building (19898889148).jpg,[[File:National Assembly Building (19898889148).jpg|thumb|left|The [[National Assembly of Angola]]]]
"Vladimir Putin and João Lourenço, 26 july 2018 (3) (cropped).jpg","[[File:Vladimir Putin and João Lourenço, 26 july 2018 (3) (cropped).jpg|thumb|right|[[João Lourenço]], [[President of Angola]]]]"
Luanda - Angola (6276460346) (cropped).jpg,[[File:Luanda - Angola (6276460346) (cropped).jpg|thumb|left|Soldiers of the [[Angolan Armed Forces]] in [[full dress uniform]]]]
Angola transito (cropped).jpg,[[File:Angola transito (cropped).jpg|thumb|right|Angolan National Police officers]]
Secretary Pompeo Meets With Angolan Foreign Minister Augusto (48578221376) (cropped).jpg,[[File:Secretary Pompeo Meets With Angolan Foreign Minister Augusto (48578221376) (cropped).jpg|thumb|upright|[[Minister of External Relations (Angola)|Foreign Minister of Angola]] [[Manuel Domingos Augusto]].]]
